poc_requirement_id,poc_section,source_framework,match_type,framework_clause,rationale,coder_id
1.1.1,C1.1,CSA_AARM,NM,—,Artifact provenance outside runtime-enforcement scope,seed-01
1.1.1,C1.1,EU_AI_Act,PM,Art. 11; Annex IV,Art 11/Annex IV technical documentation identifies the model and versions; no cryptographic digest binding or signed manifests,seed-01
1.1.1,C1.1,ISO_42001,PM,Annex A.4; Cl. 7.5,Annex A resources/data controls require model documentation and versioning; no digest binding,seed-01
1.1.1,C1.1,MITRE_ATLAS,PM,Verify ML Artifacts (AML.M0014); code-signing mitigations,Mitigations for ML supply chain compromise (verify ML artifacts) cover provenance checking; no signed-manifest requirement,seed-01
1.1.1,C1.1,NIST_AI_RMF,PM,MAP 2.3; GOVERN 1.6,MAP function calls for provenance and documentation of models; no cryptographic binding,seed-01
1.1.1,C1.1,NIST_SP_800_207,NM,—,Artifact provenance outside ZTA scope,seed-01
1.1.1,C1.1,OWASP_AISVS,EM,AISVS C6,"C6 supply chain requires model provenance, signing and verification comparable in scope and specificity",seed-01
1.1.1,C1.1,SOC_2,PM,CC8.1,CC8 change management and system-component inventory identify what runs; no model digests or signed manifests,seed-01
1.1.2,C1.1,CSA_AARM,NM,—,Artifact provenance outside runtime-enforcement scope,seed-01
1.1.2,C1.1,EU_AI_Act,PM,Art. 11; Annex IV,Art 11/Annex IV technical documentation identifies the model and versions; no cryptographic digest binding or signed manifests,seed-01
1.1.2,C1.1,ISO_42001,PM,Annex A.4; Cl. 7.5,Annex A resources/data controls require model documentation and versioning; no digest binding,seed-01
1.1.2,C1.1,MITRE_ATLAS,PM,Verify ML Artifacts (AML.M0014); code-signing mitigations,Mitigations for ML supply chain compromise (verify ML artifacts) cover provenance checking; no signed-manifest requirement,seed-01
1.1.2,C1.1,NIST_AI_RMF,PM,MAP 2.3; GOVERN 1.6,MAP function calls for provenance and documentation of models; no cryptographic binding,seed-01
1.1.2,C1.1,NIST_SP_800_207,NM,—,Artifact provenance outside ZTA scope,seed-01
1.1.2,C1.1,OWASP_AISVS,EM,AISVS C6,"C6 supply chain requires model provenance, signing and verification comparable in scope and specificity",seed-01
1.1.2,C1.1,SOC_2,PM,CC8.1,CC8 change management and system-component inventory identify what runs; no model digests or signed manifests,seed-01
1.1.3,C1.1,CSA_AARM,NM,—,Artifact provenance outside runtime-enforcement scope,seed-01
1.1.3,C1.1,EU_AI_Act,PM,Art. 11; Annex IV,Art 11/Annex IV technical documentation identifies the model and versions; no cryptographic digest binding or signed manifests,seed-01
1.1.3,C1.1,ISO_42001,PM,Annex A.4; Cl. 7.5,Annex A resources/data controls require model documentation and versioning; no digest binding,seed-01
1.1.3,C1.1,MITRE_ATLAS,PM,Verify ML Artifacts (AML.M0014); code-signing mitigations,Mitigations for ML supply chain compromise (verify ML artifacts) cover provenance checking; no signed-manifest requirement,seed-01
1.1.3,C1.1,NIST_AI_RMF,PM,MAP 2.3; GOVERN 1.6,MAP function calls for provenance and documentation of models; no cryptographic binding,seed-01
1.1.3,C1.1,NIST_SP_800_207,NM,—,Artifact provenance outside ZTA scope,seed-01
1.1.3,C1.1,OWASP_AISVS,EM,AISVS C6,"C6 supply chain requires model provenance, signing and verification comparable in scope and specificity",seed-01
1.1.3,C1.1,SOC_2,PM,CC8.1,CC8 change management and system-component inventory identify what runs; no model digests or signed manifests,seed-01
1.1.4,C1.1,CSA_AARM,NM,—,Artifact provenance outside runtime-enforcement scope,seed-01
1.1.4,C1.1,EU_AI_Act,PM,Art. 11; Annex IV,Art 11/Annex IV technical documentation identifies the model and versions; no cryptographic digest binding or signed manifests,seed-01
1.1.4,C1.1,ISO_42001,PM,Annex A.4; Cl. 7.5,Annex A resources/data controls require model documentation and versioning; no digest binding,seed-01
1.1.4,C1.1,MITRE_ATLAS,PM,Verify ML Artifacts (AML.M0014); code-signing mitigations,Mitigations for ML supply chain compromise (verify ML artifacts) cover provenance checking; no signed-manifest requirement,seed-01
1.1.4,C1.1,NIST_AI_RMF,PM,MAP 2.3; GOVERN 1.6,MAP function calls for provenance and documentation of models; no cryptographic binding,seed-01
1.1.4,C1.1,NIST_SP_800_207,NM,—,Artifact provenance outside ZTA scope,seed-01
1.1.4,C1.1,OWASP_AISVS,EM,AISVS C6,"C6 supply chain requires model provenance, signing and verification comparable in scope and specificity",seed-01
1.1.4,C1.1,SOC_2,PM,CC8.1,CC8 change management and system-component inventory identify what runs; no model digests or signed manifests,seed-01
1.1.5,C1.1,CSA_AARM,NM,—,Artifact provenance outside runtime-enforcement scope,seed-01
1.1.5,C1.1,EU_AI_Act,PM,Art. 11; Annex IV,Art 11/Annex IV technical documentation identifies the model and versions; no cryptographic digest binding or signed manifests,seed-01
1.1.5,C1.1,ISO_42001,PM,Annex A.4; Cl. 7.5,Annex A resources/data controls require model documentation and versioning; no digest binding,seed-01
1.1.5,C1.1,MITRE_ATLAS,PM,Verify ML Artifacts (AML.M0014); code-signing mitigations,Mitigations for ML supply chain compromise (verify ML artifacts) cover provenance checking; no signed-manifest requirement,seed-01
1.1.5,C1.1,NIST_AI_RMF,PM,MAP 2.3; GOVERN 1.6,MAP function calls for provenance and documentation of models; no cryptographic binding,seed-01
1.1.5,C1.1,NIST_SP_800_207,NM,—,Artifact provenance outside ZTA scope,seed-01
1.1.5,C1.1,OWASP_AISVS,EM,AISVS C6,"C6 supply chain requires model provenance, signing and verification comparable in scope and specificity",seed-01
1.1.5,C1.1,SOC_2,PM,CC8.1,CC8 change management and system-component inventory identify what runs; no model digests or signed manifests,seed-01
1.2.1,C1.2,CSA_AARM,NM,—,Outside scope,seed-01
